"","name","team","year_signed","length","total","per_year","guaranteed","inflated_total_value","inflated_guaranteed"
"1","Joe Burrow","Bengals",2023,5,275,55,219.01,275,219.01
"2","Josh Allen","Bills",2021,6,258,43,150,317.799452,184.767123
"3","Russell Wilson","Broncos",2022,5,245,49,165,264.534102,178.15562
"4","Justin Herbert","Chargers",2023,5,262.5,52.5,193.738375,262.5,193.738375
"5","Lamar Jackson","Ravens",2023,5,260,52,185,260,185
"6","Patrick Mahomes","Chiefs",2020,10,450,45,141,510.393542,159.92331
"7","Jalen Hurts","Eagles",2023,5,255,51,179.304,255,179.304
"8","Kyler Murray","Cardinals",2022,5,230.5,46.1,160,248.878002,172.756964
"9","Deshaun Watson","Browns",2022,5,230,46,230,248.338136,248.338136
"10","Dak Prescott","Cowboys",2021,4,160,40,126,197.084932,155.204384
"11","Jared Goff","LAR/DET",2019,4,134,33.5,110.042682,160.059511,131.443119
"12","Daniel Jones","Giants",2023,4,160,40,104,160,104
"13","Kirk Cousins","Vikings",2022,1,35,35,70,37.790586,75.581172
"14","Derek Carr","Saints",2023,4,150,37.5,100,150,100
"15","Aaron Rodgers","Jets",2023,3,112.5,37.5,75,112.5,75
"16","Ryan Tannehill","Titans",2020,4,118,29.5,91,133.836529,103.212916
"17","Geno Smith","Seahawks",2023,3,75,25,40,75,40
"18","Jimmy Garoppolo","Raiders",2023,3,72.75,24.25,45,72.75,45
"19","Jordan Love","Packers",2023,1,13.5,13.5,13,13.5,13
"20","Trevor Lawrence","Jaguars",2021,4,36.793486,9.198372,36.783486,45.32151,45.309193
"21","Zach Wilson","Jets",2021,4,35.15068,8.787695,35.15068,43.297934,43.297934
"22","Trey Lance","SF/DAL",2021,4,34.105258,8.526315,34.105258,42.010203,42.010203
"23","Tua Tagovailoa","Dolphins",2020,4,30.275436,7.568859,30.275436,34.338638,34.338638
"24","Jacoby Brissett","Commanders",2023,1,8,8,7.5,8,7.5
"25","Taylor Heinicke","Falcons",2023,2,14,7,6.32,14,6.32
"26","Tyrod Taylor","Giants",2022,2,11,5.5,10.9,11.877041,11.769068
"27","Justin Fields","Bears",2021,4,18.871952,4.717988,18.871952,23.246109,23.246109
"28","Mitchell Trubisky","Steelers",2023,2,11.25,5.625,6.92,11.25,6.92
"29","Marcus Mariota","Eagles",2023,1,5,5,5,5,5
"30","Andy Dalton","Panthers",2023,2,10,5,8,10,8
"31","Jarrett Stidham","Broncos",2023,2,10,5,5,10,5
"32","Mac Jones","Patriots",2021,4,15.58634,3.896585,15.58634,19.198955,19.198955
"33","Sam Darnold","49ers",2023,1,4.5,4.5,3.5,4.5,3.5
"34","Baker Mayfield","Buccaneers",2023,1,4,4,4,4,4
"35","Mike White","Dolphins",2023,2,8,4,4.5,8,4.5
"36","Jameis Winston","Saints",2023,1,4,4,4,4,4
"37","Kenny Pickett","Steelers",2022,4,14.067904,3.516976,14.067904,15.189552,15.189552
"38","Gardner Minshew","Colts",2023,1,3.5,3.5,3.5,3.5,3.5
"39","Case Keenum","Texans",2023,2,6.25,3.125,4,6.25,4
"40","Teddy Bridgewater","Lions",2023,1,3,3,2.55,3,2.55
"41","Tyler Huntley","Ravens",2023,1,2.627,2.627,0,2.627,0
"42","Cooper Rush","Cowboys",2023,2,5,2.5,2.75,5,2.75
"43","Brian Hoyer","Raiders",2023,2,4.5,2.25,4.205,4.5,4.205
"44","C.J. Beathard","Jaguars",2023,2,4.5,2.25,2,4.5,2
"45","Joshua Dobbs","CLE/ARI",2023,1,2,2,2,2,2
"46","Nick Mullens","Vikings",2023,2,4,2,1.9225,4,1.9225
"47","Kyle Trask","Buccaneers",2021,4,5.535336,1.383834,2.957306,6.818321,3.642753
"48","Davis Mills","Texans",2021,4,5.2221,1.305525,1.157892,6.432483,1.426269
"49","Nate Sudfeld","Lions",2023,1,1.6,1.6,1,1.6,1
"50","Desmond Ridder","Falcons",2022,4,5.362962,1.340741,1.080336,5.790556,1.166472
"51","Malik Willis","Titans",2022,4,5.1601,1.290025,0.9328,5.57152,1.007173
"52","Blaine Gabbert","Chiefs",2023,1,1.3175,1.3175,1.0925,1.3175,1.0925
"53","Brandon Allen","49ers",2023,1,1.2325,1.2325,0.2,1.2325,0.2
"54","Kyle Allen","Bills",2023,1,1.2325,1.2325,0.35,1.2325,0.35
"55","Josh Johnson","Ravens",2023,1,1.165,1.165,0,1.165,0
"56","Sam Ehlinger","Colts",2021,4,3.610704,0.902676,0.130704,4.447596,0.160999
"57","Sam Howell","Commanders",2022,4,4.0216,1.0054,0.3616,4.342246,0.390431
"58","Nathan Peterman","Bears",2023,1,1.08,1.08,0,1.08,0
"59","Tim Boyle","Jets",2023,1,1.08,1.08,0,1.08,0
"60","Brett Rypien","Rams",2023,1,1.08,1.08,0,1.08,0
"61","Skylar Thompson","Dolphins",2022,4,3.742208,0.935552,0.082208,4.040578,0.088763
"62","Brock Purdy","49ers",2022,4,3.737012,0.934253,0.077012,4.034968,0.083152
"63","Bailey Zappe","Patriots",2023,3,2.955,0.985,0,2.955,0
"64","Phillip Walker","Browns",2023,1,0.441822,0.441822,0,0.441822,0
"65","John Wolford","Buccaneers",2023,1,0.3708,0.3708,0,0.3708,0
"66","Jeff Driskel","Cardinals",2023,1,0.3708,0.3708,0,0.3708,0
"67","David Blough","Lions",2023,1,0.3708,0.3708,0,0.3708,0
"68","Trevor Siemian","Jets",2023,1,0.3708,0.3708,0,0.3708,0
