player_name,team,QB_Valuation
Tom Brady,TB,480.5662726530961
Aaron Rodgers,GB,237.32867817572807
Matt Ryan,IND,80.32991926479426
Matthew Stafford,LA,34.71033668298545
Andy Dalton,NO,131.56499613501686
Russell Wilson,DEN,90.94908528729708
Kirk Cousins,MIN,370.87394833805746
Ryan Tannehill,TEN,83.21568324315034
Geno Smith,SEA,471.1635757536717
Derek Carr,LV,168.07324572704636
Jimmy Garoppolo,SF,146.66467405307907
Taylor Heinicke,WAS,47.79221850038644
Marcus Mariota,ATL,113.36873657991923
Carson Wentz,WAS,19.337301382805112
Dak Prescott,DAL,203.20316688138809
Jared Goff,DET,487.8165593060207
Jacoby Brissett,CLE,134.9619342093961
Patrick Mahomes,KC,1141.0140000000001
Lamar Jackson,BAL,243.75657476595376
Josh Allen,BUF,684.4695312204757
Kyler Murray,ARI,184.86095078587988
Daniel Jones,NYG,352.1829631967704
Tua Tagovailoa,MIA,281.6877136476852
Justin Herbert,LAC,449.81959224426623
Jalen Hurts,PHI,767.3023087262728
Joe Burrow,CIN,535.0627365799191
Davis Mills,HOU,83.10229751782168
Justin Fields,CHI,204.87266597955858
Trevor Lawrence,JAX,465.48606647771163
Mac Jones,NE,87.62041140599503
Zach Wilson,NYJ,6.937391565747645
Kenny Pickett,PIT,69.02035987288491
