player_name,team,QB_Valuation
Tom Brady,TB,1148.5
Aaron Rodgers,GB,743.4000000000004
Matt Ryan,IND,432.49999999999994
Matthew Stafford,LA,284.2999999999999
Andy Dalton,NO,553.5000000000002
Russell Wilson,DEN,460.20000000000005
Kirk Cousins,MIN,1009.6000000000005
Ryan Tannehill,TEN,440.19999999999993
Geno Smith,SEA,1112.2
Derek Carr,LV,625.6000000000001
Jimmy Garoppolo,SF,584.4
Taylor Heinicke,WAS,333.59999999999985
Marcus Mariota,ATL,513.8
Carson Wentz,WAS,212.2
Dak Prescott,DAL,812.2000000000003
Jared Goff,DET,1065.8
Jacoby Brissett,CLE,560.5999999999999
Patrick Mahomes,KC,1816.5000000000005
Lamar Jackson,BAL,753.4
Josh Allen,BUF,1386.8
Kyler Murray,ARI,656.1
Daniel Jones,NYG,1006.5999999999999
Tua Tagovailoa,MIA,809.9
Justin Herbert,LAC,1088.1999999999994
Jalen Hurts,PHI,1489.5
Joe Burrow,CIN,1302.7
Davis Mills,HOU,439.8999999999996
Justin Fields,CHI,690.7000000000002
Trevor Lawrence,JAX,1175.7999999999997
Mac Jones,NE,451.7000000000001
Zach Wilson,NYJ,127.09999999999988
Kenny Pickett,PIT,400.8999999999998
