"player_id","player_name","team","completions","total_attempts","pass_yards","pass_tds","interceptions","passing_air_yards","passing_epa","rushing_attempts","rushing_yards","rushing_tds","rushing_epa","fumbles"
"00-0019596","Tom Brady","TB",490,733,4694,25,9,4944,61.9062697716568,29,-1,1,NA,4
"00-0023459","Aaron Rodgers","GB",350,542,3695,26,12,4341,-6.30994553598328,34,94,1,NA,4
"00-0026143","Matt Ryan","IND",309,461,3057,14,13,2763,-24.7600057797621,27,70,1,NA,5
"00-0026498","Matthew Stafford","LA",206,303,2087,10,8,2018,-24.0373468155017,13,9,1,NA,3
"00-0027973","Andy Dalton","NO",252,378,2871,18,9,2971,17.9905970400699,30,54,0,NA,1
"00-0029263","Russell Wilson","DEN",292,483,3524,16,11,4263,-55.9970097279003,55,277,3,15.2260561078185,2
"00-0029604","Kirk Cousins","MIN",424,643,4547,29,14,4811,18.4644065517158,31,97,2,NA,3
"00-0029701","Ryan Tannehill","TEN",212,325,2536,14,6,2522,19.7171544133646,34,98,2,-3.55396090270369,2
"00-0030565","Geno Smith","SEA",399,572,4282,30,11,4325,28.7731353740293,68,366,1,1.33825872228285,4
"00-0031280","Derek Carr","LV",305,502,3522,24,14,4585,29.2955838466438,24,102,0,NA,0
"00-0031345","Jimmy Garoppolo","SF",205,304,2381,16,4,2070,73.7066816617631,23,33,2,-3.06639207761643,2
"00-0031800","Taylor Heinicke","WAS",161,259,1859,12,6,2134,-12.7109937517172,28,96,1,-4.39168699807487,5
"00-0032268","Marcus Mariota","ATL",176,287,2095,14,9,2996,4.94880392704951,79,407,4,9.50690693224897,3
"00-0032950","Carson Wentz","WAS",172,276,1755,11,9,2147,-37.292652139748,22,86,1,NA,1
"00-0033077","Dak Prescott","DAL",261,394,2860,23,15,3235,42.084686123318,45,182,1,NA,1
"00-0033106","Jared Goff","DET",382,587,4438,29,7,4132,100.964675717449,29,73,0,NA,4
"00-0033119","Jacoby Brissett","CLE",236,368,2608,12,6,3129,23.6223129631479,47,238,2,15.6533185807057,4
"00-0033873","Patrick Mahomes","KC",435,648,5250,41,12,4692,191.972204776799,61,358,4,NA,0
"00-0034796","Lamar Jackson","BAL",200,322,2231,17,7,2736,15.3767263449809,111,755,3,39.0202468286035,2
"00-0034855","Baker Mayfield","CAR",201,335,2163,10,8,2271,-50.3416971831075,31,89,1,NA,2
"00-0034857","Josh Allen","BUF",359,567,4283,35,14,5220,100.669425849865,124,762,7,39.3497824431823,5
"00-0035228","Kyler Murray","ARI",258,389,2359,14,7,2671,-19.042612751323,66,415,3,11.6714712891656,2
"00-0035710","Daniel Jones","NYG",309,459,3134,15,5,2948,21.9037146285852,114,640,5,32.2735339096079,3
"00-0036212","Tua Tagovailoa","MIA",259,400,3548,25,8,3826,97.3682334299746,24,70,0,NA,1
"00-0036355","Justin Herbert","LAC",477,699,4739,25,10,4489,23.4585026538064,54,147,0,10.1907126954175,3
"00-0036389","Jalen Hurts","PHI",306,460,3701,22,6,3734,72.2170870482575,165,760,13,47.6373429142179,2
"00-0036442","Joe Burrow","CIN",414,606,4475,35,12,4121,87.9460373159125,75,257,5,2.73721009225119,3
"00-0036898","Davis Mills","HOU",292,479,3118,17,15,3701,-74.3353819384465,32,108,2,NA,3
"00-0036945","Justin Fields","CHI",185,307,2172,17,10,2772,-59.3471587054369,152,1123,7,70.3244166826196,2
"00-0036971","Trevor Lawrence","JAX",387,584,4113,25,8,4315,83.5256579103014,62,291,5,-5.21947004223272,9
"00-0036972","Mac Jones","NE",285,436,2984,14,10,3392,-22.78363314569,44,78,1,NA,1
"00-0037013","Zach Wilson","NYJ",132,242,1688,6,7,2180,-36.2110549518601,28,102,1,-0.103486442261289,1
"00-0038102","Kenny Pickett","PIT",235,375,2284,7,6,2750,-8.59928044269212,47,206,1,4.5456351271423,1
